sbd, toan, ngu_van, ngoai_ngu, vat_li, hoa_hoc, sinh_hoc, lich_su, dia_li, gdcd, ma_nn
01000202,8.8,8.75,8.6,,,,8.25,8.5,9.25,N1
01000066,9,8.75,7.4,7,4.75,6.25,,,,N1
01000065,7.6,9.25,9.6,,,,8.5,7.5,9.5,N1
01000338,7.8,7.5,9.4,,,,6,9,9,N1
01000609,8,6.5,9,2.5,8,6,,,,N1
01000745,7.8,4.75,5,7.75,8,5.5,,,,N1
01000201,7.6,9,8.4,,,,6.75,6.25,7.25,N1
01000337,7.8,9,6,,,,8.75,8.5,9,N1
01000610,7.6,7.75,8.4,3,1.5,3.25,,,,N1
01000881,8.2,9,7.8,,,,8.5,8.25,9.5,N1
01000340,4.6,9.25,9,,,,9,8.5,9.5,N1
01000474
01000067,8.4,6.75,8.8,6.5,3,5.75,,,,N1
01000203,7.8,7.5,5,7.75,7.5,4.75,,,,N1
01000475
01000339
01000611,7.8,7.5,8.8,8.5,4,5.25,,,,N1
01000746,8,8.25,9,7.25,4.5,7,,,,N1
01000883,9,8.25,8.6,,,,7.75,6.75,7.5,N1
01000068,8.2,7,7.2,7.25,2.5,4.25,,,,N1
01000613,7,8.5,9.2,,,,6.75,8,8.5,N1
01000884,6.6,7.5,6.4,,,,7.5,7.75,8.5,N1
01000882
01000204,7.6,8.5,8.8,,,,7,6.75,8.25,N1
01000612,7.4,7.5,7.2,,,,6.25,7.5,8.25,N1
01000341,8,9,8.4,,,,7,9.5,8.25,N1
01000477
01000885,7.4,9,9,,,,7,8.25,9.25,N1
01000749,5.2,8.75,7.4,,,,8,7.25,9.25,N1
01000886,6.6,9.25,9,,,,8,6.75,8.25,N1
01000069,7.4,8.25,8,4.25,4.25,5.25,,,,N1
01000478,6.6,8,7,,,,,,,N4
01000476,4.6,8.25,4.2,,,,5.25,6.25,,N1
01000206,9,8.5,6.2,,,,6.75,8,8.5,N1
01000342,5.2,8.75,2.2,,,,5.75,7,8,N1
01000747
01000205,8.2,4.25,6.8,7.5,4.5,,,,,N1
01000887,8,8.75,8.2,,,,6.25,7.25,8,N1
01000752,8.2,7.5,8.8,8.25,6,5,,,,N1
01000616,6.6,8.25,8,,,,6.75,7.25,8,N1
01000344,5,9,4.6,,,,6.25,7.25,6.75,N1
01000479
01000071,6.6,9,8.2,,,,9,8.5,8.5,N1
01000750,6.6,8.75,7.8,,,,5.25,6.25,6.25,N1
01000073,8,6.75,6,7,5,3.5,,,,N1
01000748,7,8.75,7.2,5.5,7.5,4.75,,,,N1
01000075,7.6,9.25,8,,,,6.75,8,9.5,N1
